sim_0,sim_1,sim_2,sim_3
6.675365194587163,6.709172616180597,6.704538502283202,6.674380745520877
6.683600951409995,6.71202991956811,6.701465100320163,6.668642127793015
6.686074079552128,6.71279827005887,6.6935414858842,6.669434489236609
6.677310081766898,6.709724868095831,6.693469453025692,6.674116625039678
6.676373654606285,6.703602075122588,6.696158679743352,6.672699978822339
6.682208316145493,6.721226114504392,6.684249247136574,6.6648724081977235
6.689171492468004,6.715583540587874,6.688066988637537,6.665160539631759
6.70449048037753,6.702377516527939,6.688259076260227,6.658797637130153
6.704130316084985,6.698055545017415,6.688259076260227,6.658629560460299
6.700024443149987,6.693181321591657,6.685930013835112,6.651498307467934
6.6922448944310435,6.69603862497917,6.689699733430401,6.666577185849096
6.700624716970895,6.696182690696188,6.692917201110458,6.670731080689768
6.708044101397293,6.697239172620983,6.693613518742709,6.663671860555911
6.7104692076337535,6.7002165307726775,6.688955393892479,6.6665531748962605
6.702209439858086,6.691932752044172,6.688355120071572,6.672916077397867
6.700960870310601,6.691284456317595,6.687442703863795,6.678654695125729
6.710661295256443,6.701200979838964,6.679495078474997,6.678582662267219
6.700192519819842,6.698631807885485,6.684825510004643,6.677021950332865
6.686698364325871,6.694045715893762,6.682424414721019,6.677166016049881
6.688090999590373,6.693829617318236,6.676229588889267,6.679471067522161
6.688859350081133,6.689843799147419,6.684033148561048,6.674116625039678
6.685737926212422,6.677934366540641,6.683696995221339,6.696278734507533
6.679399034663652,6.680599582305464,6.694069726846599,6.7043464146605105
6.66847405112316,6.680479527541283,6.69457395685616,6.706987619472498
6.6757013479268705,6.6844413347592635,6.69515021972423,6.715151343436823
6.670563004019913,6.674404756473713,6.7072757509065335,6.724851768382665
6.668930259227048,6.677862333682133,6.713830741030829,6.726124348882986
6.675581293162689,6.681487987560405,6.7076119042462405,6.720025566862581
6.681680075183095,6.681896173758622,6.7039142175094595,6.709820911907175
6.6841772142780655,6.6750290412474556,6.700960870310601,6.711933875756766
6.684801499051808,6.666769273471787,6.699400158376244,6.708812451888053
6.691524565845956,6.666096966792373,6.698055545017415,6.705138776104108
6.689339569137858,6.666241032509389,6.709484758567468,6.6902279743927995
6.69334939826151,6.673876515511316,6.711381623841532,6.694357858280633
6.695966592120662,6.676397665559122,6.718128701588517,6.696158679743352
6.704226359896331,6.6888833610339695,6.720313698296614,6.6922448944310435
6.70922063808627,6.699832355527297,6.7189450739849494,6.703866195603787
6.721778366419627,6.717288318239247,6.717960624918662,6.705691028019341
6.733111536158334,6.744348662085697,6.731190659931435,6.7170241977580485
6.765142147241885,6.763077205297969,6.749943214096542,6.74343624587792
6.805456537053942,6.78852881530439,6.782934263293543,6.764974070572032
6.830259851333785,6.82236024785066,6.8112191657346415,6.794699630183305
6.864403426266926,6.84838812072515,6.850020865518015,6.820775524963468
6.913337748147195,6.894657226840596,6.8902872334244,6.8742719278826225
