,Computerisation Probability,u,e,c_u,c_e,u_start,u_change,c_u_start,c_u_change,size
235,0.10024545454545454,0.05541224173456685,41450.81538461539,0.0633213848096292,42027.93846153846,0.0656331229112514,-15.572748519836757,0.06644883242725556,-4.706550142999294,141.846552879352
241,0.5347727272727272,0.06542929465872589,39644.09871794872,0.06463197325728838,40041.88205128205,0.0724389822827424,-9.676678775878479,0.06640163317932739,-2.6650849343716896,137.26258312053267
242,0.1258125,0.07574963939981647,118991.40641025642,0.06338759253407653,120585.15384615384,0.09519158456350126,-20.42401673723089,0.06636591091318335,-4.4877231972343665,339.5759949006944
243,0.2306,0.05803008329035275,39833.12051282051,0.06359928679123034,40363.15897435897,0.064754623383349,-10.384648603678542,0.06629149950187135,-4.061173349329681,137.7420965554645
251,0.08388888888888889,0.07770198301681708,131838.4717948718,0.06330263477347034,133610.88205128204,0.09843980791594031,-21.066502808326966,0.06636110539178386,-4.608830127612954,372.47146687918627
261,0.1842857142857143,0.051694755592094,23282.848717948717,0.06348670828679201,23587.676923076924,0.05950086663515266,-13.11932327124605,0.06631173646432476,-4.260223496111569,95.8264265088083
262,0.2841083333333333,0.04868857999749183,10843.651282051282,0.06372705595709437,10988.276923076923,0.05420921483363463,-10.183941702689028,0.0663109756097561,-3.8966696371174656,64.43884957218323
264,0.22725,0.04891703560857863,15248.520512820513,0.06363910393782451,15436.235897435898,0.05165543722379193,-5.301284361120499,0.06647378448945028,-4.264358609032773,75.53944516072231
265,0.3800454545454546,0.048750238358989444,8819.47435897436,0.06385690272082285,8927.723076923077,0.05169560461137135,-5.697517757117053,0.06612021857923497,-3.4230314222265963,59.34387234476143
266,0.05374615384615384,0.05474277628095258,46002.0358974359,0.06319757737504605,46643.81538461539,0.0660306301782576,-17.09487531291478,0.06634972049527194,-4.750800902696345,153.40016133647262
267,0.03789,0.04363177192327339,4587.044871794872,0.06295612551092232,4669.707692307692,0.05356660362064307,-18.54668958989417,0.06584145377929945,-4.382236574011189,48.70489764424184
311,0.4494777777777777,0.08931351227908418,90174.89871794872,0.06430065820330064,91136.71282051282,0.09464186707971686,-5.630018685223744,0.06637805174791143,-3.129639225478115,265.9086244374612
312,0.11866666666666666,0.06643229420608573,24670.71153846154,0.06334766651402261,25016.758974358974,0.06188324812745215,7.351013749738155,0.06646709387716919,-4.69319054164044,99.33537565061233
