Radetiketter;Andra företagstjänster ;Anläggningar för avfallshantering och återvinning m.m.;Banker och andra kreditinstitut;Byggindustri;Civila myndigheter och försvaret ;Detaljhandel;El-, gas - och värmeverk;Enheter för hälso- och sjukvård;Enheter för kultur, nöje och fritid;Enheter för öppna sociala insatser;Fastighetsbolag o.d. ;Forsknings- och utvecklingsinstitutioner;Företag inom arbetsförmedling och bemanning;Företagskonsulter ;"Förlag; film-, radio- och TV-bolag m.m.";Försäkringsbolag o.d.;Grafisk industri;Gummi- och plastvaruindustri;Handel med motorfordon;Hotell och restauranger;Jord- och stenvaruindustri;Jordbruk, skogsbruk och fiske;Juridiska och ekonomiska konsulter;Kemisk industri;Livsmedelsindustri;Läkemedelsindustri;Maskinindustri ;Massa- och pappersindustri;Metallindustri;Okänt;Parti- och provisionshandel;Personliga tjänster och annan service;Petroleumraffinaderier m.m.;Post- och kurirföretag;Programvaruproducenter och datakonsulter m.m.;Reklambyråer o.d.;Reparationsverkstäder ;Resebyråer, bevakningstjänst, fastighetsservice  o.d.;Serviceföretag till bank och försäkring ;Stål- och metallverk;Tekniska konsulter;Telekommunikationsbolag;Textil- och beklädnadsindustri;Transport- och magasineringsföretag;Transportmedelsindustri;Trävaruindustri;Utbildningsväsendet;Uthyrningsfirmor;Utvinningsindustri;Vatten- och reningsverk;Vårdhem och bostäder med omsorg ;Övrig industri;Totalsumma
Forsknings- och utvecklingsinstitutioner;41;0;25;21;184;35;22;100;38;16;27;18089;74;122;34;0;0;0;52;16;0;15;17;31;16;56;126;0;26;14;211;44;0;;226;14;0;24;0;61;362;19;;16;115;0;359;0;0;0;0;19;20667
Företag inom arbetsförmedling och bemanning;190;208;662;1980;1937;2316;286;1190;510;1284;588;201;55250;883;567;251;65;337;620;1087;323;146;549;252;612;426;2290;193;929;176;2641;504;47;313;1512;242;233;1655;187;320;874;425;52;2652;3306;313;1880;245;23;50;528;272;94582
Företagskonsulter ;249;27;318;384;560;608;100;240;328;230;359;142;748;45036;398;110;25;37;117;355;26;57;436;27;91;18;289;58;102;96;806;354;0;40;1523;408;38;366;206;66;422;95;12;323;140;27;636;74;0;0;110;45;57262
"Förlag; film-, radio- och TV-bolag m.m.";172;0;127;108;292;350;19;99;522;115;115;30;348;514;39115;34;36;0;42;167;0;29;121;0;33;0;60;0;21;54;366;213;0;28;1250;373;0;160;54;0;141;55;0;110;45;0;438;30;0;0;61;19;45866
Försäkringsbolag o.d.;24;0;286;46;181;71;0;42;41;28;62;0;117;122;45;18454;0;0;42;28;0;25;77;0;0;0;16;0;0;13;66;42;;0;129;19;;67;251;0;28;14;0;35;0;0;68;0;;0;12;0;20451
Grafisk industri;54;0;11;56;31;69;0;0;34;25;13;0;102;44;80;0;9037;0;24;19;0;0;17;0;17;19;31;30;23;0;150;19;0;19;54;98;11;48;0;0;30;0;0;52;33;12;36;0;;0;11;11;10320
Gummi- och plastvaruindustri;0;0;0;160;30;74;0;17;12;46;23;0;192;33;0;0;0;16075;65;31;44;21;11;82;31;0;167;28;236;15;186;24;0;0;28;0;23;39;0;32;60;;0;74;97;27;62;0;0;0;24;89;18158
Handel med motorfordon;34;98;61;840;215;471;17;64;129;117;225;17;510;151;29;54;17;44;64717;183;33;106;64;19;70;0;192;39;226;74;768;92;0;49;86;46;139;293;23;25;202;17;0;710;230;62;242;180;33;14;90;34;72151
Hotell och restauranger;288;47;233;1010;809;6007;30;643;1309;1768;514;29;2451;473;262;97;21;77;321;115053;40;182;210;55;840;17;191;66;173;398;1208;778;0;290;317;165;53;2123;88;59;229;102;15;1384;275;79;2950;110;21;11;1085;67;145023
Jord- och stenvaruindustri;12;18;0;449;36;51;0;11;20;27;28;;129;23;0;;0;21;36;28;14901;22;12;0;23;0;151;23;83;0;174;17;0;0;15;0;0;65;0;48;84;0;0;111;43;35;42;13;18;0;16;49;16834
Jordbruk, skogsbruk och fiske;64;40;46;947;261;363;25;73;181;203;176;19;185;61;16;18;0;18;91;184;40;48934;48;16;165;0;83;60;93;217;278;187;0;36;40;24;69;236;0;12;78;0;0;456;52;139;362;29;34;12;141;18;54830
Juridiska och ekonomiska konsulter;84;0;227;289;622;221;33;90;94;106;271;24;319;696;116;66;0;28;72;128;0;68;37734;19;32;0;77;27;50;50;304;166;0;14;309;42;11;167;123;11;109;31;0;127;71;17;236;19;0;0;46;25;43371
Kemisk industri;0;0;0;75;44;74;24;34;22;31;26;47;102;26;0;0;0;15;22;22;0;23;11;15300;52;29;73;30;32;0;233;21;0;0;31;0;13;29;0;16;99;0;0;54;25;11;59;0;13;0;0;11;16729
Livsmedelsindustri;60;27;38;332;183;860;25;96;133;218;86;0;560;126;36;15;0;58;101;556;53;136;48;140;42731;31;158;60;101;126;743;123;0;45;83;32;53;252;0;38;99;13;0;420;138;58;374;30;11;15;124;38;49783
Läkemedelsindustri;0;0;0;15;21;27;0;32;0;0;0;122;56;23;0;;0;0;0;0;0;0;0;92;23;8570;24;0;14;0;93;0;;0;15;0;0;19;0;0;85;;;0;26;0;14;0;0;0;0;0;9271
Maskinindustri ;36;26;40;691;234;196;89;74;65;97;130;132;631;243;51;14;12;98;144;85;88;104;65;49;76;21;91810;80;713;56;1044;105;30;21;557;16;208;135;0;96;786;22;126;202;490;62;196;128;16;22;67;94;100573
Massa- och pappersindustri;0;15;0;91;73;46;28;19;29;36;37;18;130;49;0;0;16;23;19;18;0;56;12;44;27;0;73;24746;58;0;125;22;;0;29;0;25;31;0;15;64;0;11;79;39;54;54;0;0;12;16;14;26253
Metallindustri;12;35;0;971;102;160;23;50;71;88;126;16;552;86;13;0;12;115;160;74;254;110;42;64;70;0;766;64;57042;180;499;64;0;35;66;16;317;164;0;249;240;0;19;208;504;102;147;27;29;19;51;132;64146
Okänt;79;21;48;380;761;467;13;414;264;1509;155;13;258;120;62;11;0;27;71;410;0;315;56;0;66;0;66;14;75;17887;166;252;0;48;105;32;19;364;17;30;96;13;11;251;36;36;1723;20;0;11;1330;24;28146
Parti- och provisionshandel;371;179;239;2106;697;3001;125;343;443;378;474;222;1603;939;631;83;71;180;661;698;188;299;316;197;632;66;1167;175;445;175;171544;431;23;165;1350;298;366;710;97;123;736;142;83;1356;304;159;850;300;33;39;220;277;196710
Personliga tjänster och annan service;148;29;92;455;832;1008;21;493;641;919;306;32;615;386;191;43;13;23;104;595;13;212;171;23;86;12;77;20;74;200;433;86868;;71;249;80;20;757;25;15;162;33;22;326;69;35;1609;35;0;0;475;38;99156
