ssyk3,Computerisation Probability,swedish,english,2014,2015,2016,2017,2018,post-shock demand
533,0.42,Vårdbiträden,Nursing assistants,76879,79786,76546,78083,76698,78579
534,0.37,"Skötare, vårdare och personliga assistenter m.fl.","Caretakers, carers and personal assistants",144685,153485,161192,159343,162602,180953
535,0.59,Tandsköterskor,Dental nurses,10192,10030,10308,10459,10509,7611
541,0.48,Andra bevaknings- och säkerhetsyrken,Other security proffessions,36272,36789,37697,38644,38724,35569
611,0.67,Växtodlare inom jordbruk och trädgård,Plant growers in agriculture and gardening,16517,17377,17675,18138,18381,10714
612,0.61,Djuruppfödare och djurskötare,Animal breeders and caretakers,7063,7836,8068,8300,8465,5831
613,0.76,"Växtodlare och djuruppfödare, blandad drift","Plant breeders and animal breeders, mixed operation",3612,4145,3946,3897,3687,1563
621,0.72,Skogsarbetare,Forestry workers,3466,3578,3590,3737,3644,1802
622,0.72,Fiskodlare och fiskare,Fishery workers and fishers,474,489,553,586,604,298
711,0.67,"Snickare, murare och anläggningsarbetare","Carpenter, mason and construction workers",93307,98581,100639,106208,108606,63309
712,0.67,"Takmontörer, golvläggare och VVS-montörer m.fl.","Ceiling fittings, flooring and plumbing workers",34242,35470,35869,36659,37942,22117
713,0.78,"Målare, lackerare och skorstensfejare m.fl.","Painters, lacquers and chimney sweeps",23322,24133,24293,25458,26289,10216
721,0.78,"Gjutare, svetsare och plåtslagare m.fl.","Casters, welders and sheet metal blowers",25106,26408,26927,27140,27022,10501
722,0.85,Smeder och verktygsmakare m.fl.,Blacksmiths and toolmakers,53171,56707,59479,58119,52175,13824
723,0.59,Fordonsmekaniker och reparatörer m.fl.,Vehicle mechanics and repairers,54866,58769,58964,59391,62316,45131
731,0.64,Finmekaniker och konsthantverkare m.fl.,Fine mechanics and craftsmen,3825,3840,4108,3901,4113,2615
732,0.73,"Prepresstekniker, tryckare och bokbindare m.fl.","Prepress technicians, printers and bookbinders",8704,8613,8179,8046,7702,3673
741,0.54,Installations- och industrielektriker m.fl.,Installation and industrial electricians,39365,41083,41852,42712,43793,35584
742,0.53,Elektronikreparatörer och kommunikationselektriker m.fl.,Electronics repairers and communication electricians,9603,10255,10613,10439,10671,8859
752,0.83,"Ytbehandlare, trä och möbelsnickare m.fl.","Surface finishers, wood and furniture carpenters",10666,10960,11180,11269,11200,3363
753,0.6,"Skräddare, tapetserare och läderhantverkare m.fl.","Tailors, wallpapers and leather craftsmen",2099,2244,2466,2401,2379,1680
761,0.78,"Slaktare, bagare och livsmedelsförädlare m.fl.","Butchers, bakers and food processors",7436,8131,8315,8609,8488,3298
811,0.77,Malmförädlingsyrken och brunnsborrare m.fl.,The ore processing profession and well drillers,8405,7306,8934,7694,8542,3470
812,0.88,"Process- och maskinoperatörer, vid stål- och metallverk","Process and machine operators, at steel and metal plants",15788,14057,14526,14606,17573,3725
813,0.87,"Maskinoperatörer, kemiska och farmaceutiska produkter m.m.","Machine operators, chemical and pharmaceutical products",5509,5513,5179,5194,5279,1212
814,0.87,"Maskinoperatörer, gummi-, plast- och pappersvaruindustri","Machine operators, rubber, plastic and stationery industry",13743,13640,13379,14010,14204,3261
815,0.87,"Maskinoperatörer, textil-, tvätt- och läderindustri m.m.","Machine operators, textile, laundry and leather industry",5280,5389,5287,5463,5438,1248
816,0.82,"Maskinoperatörer, livsmedelsindustri","Machine operators, food industry",15482,15400,15692,15171,15901,5055
817,0.73,"Processoperatörer, trä- och pappersindustri","Process operators, wood and paper industry",16346,16796,16605,16398,16805,8014
