Radetiketter;110;210;310;111;112;121;122;123;124;125;129;131;132;133;134;135;136;137;138;141;142;149;151;152;153;154;159;161;171;172;173;174;179;211;212;213;214;216;217;218;221;222;223;224;225;226;227;228;231;232;233;234;235;241;242;243;251;261;262;264;265;266;267;311;312;315;321;323;324;325;331;332;333;334;335;336;341;342;343;344;345;351;352;411;421;422;432;441;442;443;511;512;513;514;515;516;522;523;524;531;532;533;534;535;541;611;612;613;621;622;711;712;713;721;722;723;731;732;741;742;752;753;761;811;812;813;814;815;816;817;818;819;821;831;832;833;834;835;911;912;921;931;932;933;941;952;961;962;***;NULL;Totalsumma
129;;;0;16;124;104;70;100;32;213;15166;78;75;32;49;48;74;84;;0;0;29;18;20;27;0;57;11;0;14;27;11;43;0;;0;141;0;28;19;;0;0;0;0;;0;0;0;0;0;0;0;108;287;63;167;20;0;0;0;15;;152;32;0;0;0;;;59;227;62;96;85;0;0;12;15;16;0;36;0;227;0;79;91;0;0;;0;0;0;0;34;0;57;0;12;11;0;0;18;;33;0;0;0;0;;0;0;0;0;0;13;0;0;0;0;;;0;;;;0;0;0;0;;0;0;0;0;0;0;;45;0;;0;0;0;0;;0;0;;252;19034
131;;;;0;70;34;11;20;11;93;58;8012;0;36;43;0;59;0;;;;0;0;0;0;;15;11;;;0;0;0;0;0;0;36;;0;0;;0;;;;;;;0;0;0;0;0;35;101;30;664;0;0;;;0;;37;0;;0;;;;0;49;0;19;18;0;;0;;;;129;0;14;;12;0;;;0;;;0;0;0;0;0;;0;0;0;;0;0;;0;;0;;;0;;;0;;0;;;0;0;0;;;;;;;;;;;0;0;;0;0;;;;0;;;;;0;0;;;;106;9723
132;;;;;52;19;0;31;0;112;72;16;8372;0;13;0;39;85;;;;;0;0;0;0;0;;;0;19;0;14;;0;0;88;0;0;0;0;;;;;0;;;;;;0;0;24;43;15;24;0;0;;;;;45;31;0;0;;;;0;299;37;16;0;;0;0;;0;;0;0;66;;12;214;;;;0;0;0;0;0;0;50;0;0;0;;0;0;;0;0;0;;0;;0;;0;0;0;0;;0;0;0;0;;0;;;0;0;0;0;;;51;0;;0;28;0;;;0;;;0;0;0;0;;0;;82;9969
133;;;0;;46;13;0;27;0;59;44;36;0;4944;32;0;16;44;0;0;;;0;0;;;13;;;;0;;0;29;;19;122;0;0;0;0;;0;;0;;;0;13;0;;0;0;11;64;23;56;0;0;0;0;0;;63;0;;18;;;;;21;0;0;0;0;0;0;0;0;;0;;0;;0;0;;;;;;;;;;;;;;;0;;;;;0;0;0;;;;;;;;;;;;;;0;;0;;;;;0;;;;;;;;;;;;;;;;;;;;51;5764
134;;;0;23;43;16;15;32;0;58;44;25;0;20;7682;11;51;40;;;;0;0;0;0;;46;0;0;;0;;0;0;;0;324;132;0;0;;;;0;;;;;0;;0;0;0;11;94;11;58;0;;;;0;;170;18;0;0;;;;0;48;0;11;11;;0;;;0;;0;;13;;0;0;;;;;;;;0;;0;;0;0;0;0;;;0;0;;0;0;;0;0;;;;0;;;0;0;;;;0;;;;;;;;12;0;;;0;0;;;;;;;;;;;;;77;9096
135;;;;0;53;14;0;16;0;22;29;0;0;;18;2768;17;0;;0;0;;;;;;24;;;;0;0;0;;;0;18;0;;0;;;;;;;;;;;0;0;;16;21;0;0;;;;0;;0;19;0;;;;0;;0;18;129;0;0;0;;0;0;;;0;;20;;0;;;;;;;0;;25;;0;;;0;;;;;0;0;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;;;0;0;;0;;;;;;0;;;;;50;3277
136;;;;0;109;34;0;24;0;69;54;31;19;0;60;22;13097;50;;;;0;0;;0;;0;;;;14;;27;0;;0;172;0;;0;;;;;;;;;0;0;;0;0;22;31;0;22;0;;0;;;;320;219;0;0;;;;0;64;15;19;11;;;0;0;0;;0;0;25;;0;19;;;0;;0;;0;14;0;0;;;;0;;0;;0;0;0;0;0;0;187;42;47;0;;0;;0;17;0;0;;;11;;;;;0;;0;0;0;;;0;16;;0;;;0;;0;;;0;0;;156;15039
137;;;0;0;180;47;48;37;0;123;78;24;67;46;47;19;149;12384;0;0;;0;0;;0;;16;;;0;26;0;34;0;;0;202;0;0;0;;;;;;;0;0;0;0;;0;0;14;51;20;32;0;;0;0;;;256;187;0;14;0;;;0;162;15;13;14;;;0;0;0;;0;0;30;;0;47;;0;0;;0;;;0;;24;;0;0;0;0;0;;0;0;0;0;0;;18;0;13;24;53;49;0;14;11;0;24;0;0;0;0;;0;0;33;0;0;14;66;0;;0;0;;;;;;0;0;0;;0;0;;106;14831
138;;;;;0;0;0;;;0;0;0;0;;;;0;0;466;0;;;;;;;0;;;;;0;;;;18;0;;;0;;;;;;;;;;;;;;;0;0;0;;;;;;;0;;0;;;;;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;0;484
141;;;;30;20;0;0;31;;11;0;;;0;0;0;;0;;8698;87;22;15;11;0;;62;0;;0;;0;0;0;;;0;;;;;;;0;;;0;;0;17;51;144;68;0;170;0;0;;0;0;0;0;;0;;;;;;0;0;0;0;0;0;;0;0;0;0;;0;;25;;0;0;;;;;;;0;;0;0;;;0;;;0;;;;0;;0;;;;;;;;0;;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;0;;;0;;15;9477
