,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
211,1.8396373525269392,0.441250686622946,2.280888039149885,0.5499219237500956,2.172216802022734,0 days 00:00:51.317907000,0.02,0.009,0.006,0.04,3.1
212,1.8688632885935816,0.6987854142456896,2.5676487028392714,1.094217315062226,2.172216802022734,0 days 00:00:50.271316000,0.03,0.009,0.006,0.04,3.1
213,2.1714195719210725,0.9147799261334254,3.086199498054498,1.8287626221651871,2.172216802022734,0 days 00:00:50.986704000,0.04,0.009,0.006,0.04,3.1
214,2.7343443848676987,1.0966960970800066,3.831040481947705,2.7555197770049777,2.172216802022734,0 days 00:00:50.835439000,0.05,0.009,0.006,0.04,3.1
215,2.217950781706068,0.08206425215584953,2.3000150338619174,0.20986248399503243,2.172216802022734,0 days 00:00:51.122392000,0.01,0.009,0.006,0.05,3.1
216,2.297161888963667,0.2663845905521276,2.5635464795157947,0.6577142680451882,2.172216802022734,0 days 00:00:49.878462000,0.02,0.009,0.006,0.05,3.1
217,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:50.919483000,0.03,0.009,0.006,0.05,3.1
218,2.7944272931697096,0.8461483620696102,3.64057565523932,2.314507215286197,2.172216802022734,0 days 00:00:51.003913000,0.04,0.009,0.006,0.05,3.1
219,3.5376843368467057,1.072840848501847,4.6105251853485525,3.511149231827665,2.172216802022734,0 days 00:00:51.338521000,0.05,0.009,0.006,0.05,3.1
220,2.402568288314435,0.0,2.402568288314435,0.2303514862917008,2.172216802022734,0 days 00:00:51.608950000,0.01,0.009,0.006,0.06,3.1
221,2.743077575257309,0.09646279933302046,2.8395403745903294,0.7637863719006166,2.172216802022734,0 days 00:00:50.785706000,0.02,0.009,0.006,0.06,3.1
222,3.1443327278405757,0.3173572250027648,3.4616899528433405,1.606830375823371,2.172216802022734,0 days 00:00:50.492137000,0.03,0.009,0.006,0.06,3.1
223,3.6413027261038886,0.6365751800829439,4.277877906186832,2.7422362842470442,2.172216802022734,0 days 00:00:52.205779000,0.04,0.009,0.006,0.06,3.1
224,4.329848054064344,0.9849732308752666,5.314821284939611,4.127577713792144,2.172216802022734,0 days 00:00:51.796489000,0.05,0.009,0.006,0.06,3.1
225,2.423320706294849,0.0,2.423320706294849,0.2511039042721151,2.172216802022734,0 days 00:00:52.875481000,0.01,0.009,0.006,0.07,3.1
226,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:51.135944000,0.02,0.009,0.006,0.07,3.1
227,3.644869579875868,0.17070918527446768,3.815578765150336,1.8140711484020684,2.172216802022734,0 days 00:00:51.189880000,0.03,0.009,0.006,0.07,3.1
228,4.321900200359385,0.46095376348406814,4.782853963843453,3.0715909253047857,2.172216802022734,0 days 00:00:51.001378000,0.04,0.009,0.006,0.07,3.1
229,4.987871637424419,0.8638577128528422,5.851729350277261,4.543370261107369,2.172216802022734,0 days 00:00:50.819375000,0.05,0.009,0.006,0.07,3.1
230,2.4424651718165666,0.0,2.4424651718165666,0.27024836979383243,2.172216802022734,0 days 00:00:51.552759000,0.01,0.009,0.006,0.08,3.1
231,3.1099892118321457,0.0,3.1099892118321457,0.9377724098094115,2.172216802022734,0 days 00:00:51.004941000,0.02,0.009,0.006,0.08,3.1
232,3.9928807323367064,0.0758629461114052,4.0687436784481115,1.9723898225367813,2.172216802022734,0 days 00:00:50.101525000,0.03,0.009,0.006,0.08,3.1
233,4.7939514701432335,0.33502494513618175,5.128976415279415,3.2917845583928633,2.172216802022734,0 days 00:00:51.414902000,0.04,0.009,0.006,0.08,3.1
234,5.489536244278835,0.7236967237573766,6.213232968036211,4.7647128897708555,2.172216802022734,0 days 00:00:50.627795000,0.05,0.009,0.006,0.08,3.1
235,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:50.738536000,0.01,0.009,0.006,0.09,3.1
236,3.171566685405839,0.0,3.171566685405839,0.9993498833831049,2.172216802022734,0 days 00:00:50.203684000,0.02,0.009,0.006,0.09,3.1
237,4.216406253305708,0.018937343236662525,4.2353435965423705,2.082064137756299,2.172216802022734,0 days 00:00:49.706065000,0.03,0.009,0.006,0.09,3.1
238,5.09987744731363,0.24309562243048682,5.342973069744117,3.413851890151869,2.172216802022734,0 days 00:00:50.433985000,0.04,0.009,0.006,0.09,3.1
239,5.780396038179376,0.6157784631589514,6.3961745013383275,4.839736162474543,2.172216802022734,0 days 00:00:49.974235000,0.05,0.009,0.006,0.09,3.1
240,2.436356124722105,0.0,2.436356124722105,0.26413932269937085,2.172216802022734,0 days 00:00:51.621544000,0.01,0.01,0.004,0.02,3.1
