,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_ny,gamma_u,timestep
56,1.947133301602812,0.33625415469428377,2.283387456297096,0.4474248089686458,2.172216802022734,0 days 00:00:43.560285000,0.015,0.009,0.004,0.075,3.1
57,1.9225587558358386,0.4214241393278056,2.343982895163644,0.5931902324687156,2.172216802022734,0 days 00:00:43.907435000,0.0175,0.009,0.004,0.075,3.1
58,1.9070947638464189,0.5125367955964615,2.4196315594428803,0.7599515530166068,2.172216802022734,0 days 00:00:44.572594000,0.02,0.009,0.004,0.075,3.1
59,1.900205906541615,0.6099881041882436,2.5101940107298586,0.9479653128953676,2.172216802022734,0 days 00:05:47.248797000,0.0225,0.009,0.004,0.075,3.1
60,2.0989498708528473,0.2713832387773475,2.3703331096301947,0.46949954638480873,2.172216802022734,0 days 00:00:47.584537000,0.015,0.009,0.004,0.08,3.1
61,2.1038393270836324,0.34609389283276754,2.4499332199164,0.6238103107264343,2.172216802022734,0 days 00:00:47.856243000,0.0175,0.009,0.004,0.08,3.1
62,2.116704851085623,0.4279778129143426,2.5446826639999656,0.8004436748915733,2.172216802022734,0 days 00:00:48.154417000,0.02,0.009,0.004,0.08,3.1
63,2.1377754178437964,0.5170390016424719,2.6548144194862684,0.9996366191060059,2.172216802022734,0 days 00:00:46.927570000,0.0225,0.009,0.004,0.08,3.1
64,1.8774792487537235,0.3317567983855306,2.209236047139254,0.3687760435020505,2.172216802022734,0 days 00:02:13.874149000,0.015,0.009,0.005,0.05,3.1
65,1.8391182085244755,0.4051291507947736,2.244247359319249,0.4771597080912882,2.172216802022734,0 days 00:00:49.792030000,0.0175,0.009,0.005,0.05,3.1
66,1.8136558501382538,0.47918021916517084,2.2928360693034247,0.5997994864458635,2.172216802022734,0 days 00:00:47.761880000,0.02,0.009,0.005,0.05,3.1
67,1.802394486047921,0.5533649079962716,2.3557593940441928,0.7369075000177296,2.172216802022734,0 days 00:00:48.477679000,0.0225,0.009,0.005,0.05,3.1
68,1.9856873711228804,0.30136460061235454,2.287051971735235,0.41619977032485567,2.172216802022734,0 days 00:00:47.067845000,0.015,0.009,0.005,0.06,3.1
69,1.9635462882734065,0.37727336267297307,2.3408196509463797,0.5458762115966205,2.172216802022734,0 days 00:00:47.174192000,0.0175,0.009,0.005,0.06,3.1
70,1.9499315994799395,0.4578957777722181,2.4078273772521577,0.6935063530016409,2.172216802022734,0 days 00:00:47.393701000,0.02,0.009,0.005,0.06,3.1
71,1.9439559963906758,0.5437845397037508,2.4877405360944267,0.8593082737754422,2.172216802022734,0 days 00:00:47.285648000,0.0225,0.009,0.005,0.06,3.1
72,2.4726919082344034,0.09467685692192249,2.567368765156326,0.48982882005551376,2.172216802022734,0 days 00:02:48.757371000,0.015,0.009,0.005,0.075,3.1
73,2.5353322331703674,0.14294681033262827,2.6782790435029957,0.6490090518128899,2.172216802022734,0 days 00:00:48.475083000,0.0175,0.009,0.005,0.075,3.1
74,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:47.754094000,0.02,0.009,0.005,0.075,3.1
75,2.68215596801406,0.2625620902595946,2.9447180582736543,1.035063346510517,2.172216802022734,0 days 00:00:48.500564000,0.0225,0.009,0.005,0.075,3.1
76,2.5928555514509797,0.04619866847626958,2.639054219927249,0.5130360863807861,2.172216802022734,0 days 00:00:47.258145000,0.015,0.009,0.005,0.08,3.1
77,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:50.094407000,0.0175,0.009,0.005,0.08,3.1
78,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:47.060543000,0.02,0.009,0.005,0.08,3.1
79,2.8753345243761688,0.19233842372214546,3.067672948098314,1.087794569797727,2.172216802022734,0 days 00:00:47.229835000,0.0225,0.009,0.005,0.08,3.1
80,2.248912698849119,0.16274164654029533,2.4116543453894144,0.40217918990697704,2.172216802022734,0 days 00:00:48.117545000,0.015,0.009,0.006,0.05,3.1
